[INFO] Transformer | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
[DBG] model dtype: torch.float32
=== START TRAIN (Transformer) ===
[E04] b0650 | loss=0.6013 | acc=0.833
[E04] b0660 | loss=0.6305 | acc=0.823
[E04] b0670 | loss=0.6663 | acc=0.812
[E04] b0680 | loss=0.5256 | acc=0.833
[E04] b0690 | loss=0.5655 | acc=0.854
[E04] b0700 | loss=0.5173 | acc=0.865
[E04] b0710 | loss=0.5038 | acc=0.865
[E04] b0720 | loss=0.4903 | acc=0.865
[E04] b0730 | loss=0.6194 | acc=0.854
[E04] b0740 | loss=0.5434 | acc=0.833
[E04] b0750 | loss=0.4458 | acc=0.917
[E04] b0760 | loss=0.5467 | acc=0.854
[E04] b0770 | loss=0.4411 | acc=0.938
[E04] b0780 | loss=0.5879 | acc=0.844
[E04] b0790 | loss=0.5178 | acc=0.865
[E04] b0800 | loss=0.6124 | acc=0.812
[E04] b0810 | loss=0.6065 | acc=0.854
[E04] b0820 | loss=0.4566 | acc=0.896
[E04] b0830 | loss=0.5767 | acc=0.823
[E04] b0840 | loss=0.5043 | acc=0.865
[E04] b0850 | loss=0.5294 | acc=0.854
[E04] b0860 | loss=0.4697 | acc=0.906
[E04] b0870 | loss=0.6036 | acc=0.833
[E04] b0880 | loss=0.4444 | acc=0.906
[E04] b0890 | loss=0.4960 | acc=0.896
[E04] b0900 | loss=0.4471 | acc=0.917
[E04] b0910 | loss=0.6488 | acc=0.812
[E04] b0920 | loss=0.6305 | acc=0.792
[E04] b0930 | loss=0.7168 | acc=0.760
[E04] b0940 | loss=0.5748 | acc=0.854
[E04] b0950 | loss=0.5066 | acc=0.865
[E04] b0960 | loss=0.5930 | acc=0.823
[E04] b0970 | loss=0.5344 | acc=0.896
[E04] b0980 | loss=0.4412 | acc=0.917
[E04] b0990 | loss=0.5140 | acc=0.885
[E04] b1000 | loss=0.5887 | acc=0.844
[E04] b1010 | loss=0.5810 | acc=0.854
[E04] b1020 | loss=0.4838 | acc=0.896
[E04] b1030 | loss=0.5222 | acc=0.875
[E04] b1040 | loss=0.4903 | acc=0.896
[E04] b1050 | loss=0.5540 | acc=0.875
[E04] b1060 | loss=0.5080 | acc=0.844
[E04] b1070 | loss=0.7047 | acc=0.792
[E04] b1080 | loss=0.5440 | acc=0.833
[E04] b1090 | loss=0.4594 | acc=0.885
[E04] b1100 | loss=0.5200 | acc=0.875
[E04] b1110 | loss=0.4162 | acc=0.906
[E04] b1120 | loss=0.5410 | acc=0.844
[E04] b1130 | loss=0.5222 | acc=0.854
[E04] b1140 | loss=0.5223 | acc=0.854
[E04] b1150 | loss=0.5935 | acc=0.833
[E04] b1160 | loss=0.5829 | acc=0.844
[E04] b1170 | loss=0.5758 | acc=0.844
[E04] b1180 | loss=0.5026 | acc=0.896
[E04] b1190 | loss=0.5399 | acc=0.844
[E04] b1200 | loss=0.4792 | acc=0.906
[E04] b1210 | loss=0.4750 | acc=0.875
